,Name,Race,Class,Pronouns,Sexual Preference,Str,Dex,Con,Wis,Int,Session Notes
103, Hander,Mountain Dwarf,Paladin,She/They,Masculine,16,6,11,10,14,
104, Harperia,Half-Elf,Paladin,She/They,Feminine,5,15,10,17,12,
105, Zachaery,Forest Gnome,Fighter,He/Him,Masculine,15,8,16,12,9,
106, Aubree,Gnome,Wizard,She/Her,Masculine,10,15,11,11,14,
107, Brooke,Lightfoot Halfling,Ranger,She/Her,Feminine,7,9,16,15,11,
108, Liam,Half-Orc,Bard,He/Him,Either,14,16,7,14,12,
109, Aisiah,Halfling,Rogue,He/Him,Either,15,12,14,15,12,
110, Sophia,Dragonborn,Druid,She/Her,Masculine,13,13,15,9,10,
111, Maedisa,Stout Halfling,Paladin,They/Them,Either,15,12,18,15,17,
112, Jakomos,Elf,Ranger,She/They,Masculine,13,18,17,14,15,
113, Santjeg,Hill Dwarf,Artificer,She/They,Either,11,15,18,13,12,
114, Lyam,Forest Gnome,Ranger,They/Them,Either,14,15,9,15,8,
115, Alvan,Half-Orc,Fighter,They/Them,Feminine,13,17,14,9,14,
116, Ryila,Dwarf,Barbarian,He/They,Either,15,8,13,11,16,
117, Horus,Half-Orc,Ranger,He/Him,Either,16,9,14,11,12,
118, Natjanus,Halfling,Ranger,She/They,Either,14,18,13,11,15,
119, Aeliya,Half-Orc,Wizard,They/Them,Feminine,11,13,8,8,9,
120, Gabrilo,Elf,Monk,He/Him,Either,15,17,14,14,18,
121, Aedria,Dragonborn,Wizard,She/Her,Masculine,14,13,10,14,11,
122, Iono,Half-Orc,Paladin,He/Him,Either,10,12,12,12,8,
123, Nycole,Halfling,Monk,She/Her,Masculine,11,15,13,15,11,
124, Rubi,High Elf,Warlock,She/They,Either,17,16,14,11,11,
125, Yago,Drow Elf,Druid,He/Him,Masculine,7,13,12,12,12,
126, Lilia,Stout Halfling,Monk,They/Them,Either,13,12,9,10,15,
127, Sosja,Drow Elf,Rogue,They/Them,Either,16,15,14,15,14,
128, Esekio,Dragonborn,Ranger,He/Him,Either,14,16,11,11,13,
129, Davyd,Dwarf,Artificer,She/They,Either,15,13,18,11,14,
130, Hazyl,Tiefling,Wizard,She/Her,Feminine,15,11,11,13,14,
131, Iamus,Forest Gnome,Druid,She/They,Masculine,8,8,11,9,10,
132, Alia,Half-Elf,Monk,She/Her,Masculine,12,10,16,13,11,
133, Cavos,Forest Gnome,Wizard,He/They,Feminine,11,15,11,11,12,
134, Iacono,Dragonborn,Sorceror,He/Him,Either,16,14,14,8,17,
135, Robett,High Elf,Fighter,He/Him,Masculine,14,16,15,8,12,
136, Jenesa,Lightfoot Halfling,Wizard,She/Her,Feminine,14,15,16,14,12,
137, Andreja,Rock Gnome,Barbarian,She/Her,Masculine,12,15,13,13,15,
138, Adamo,Wood Elf,Ranger,He/They,Feminine,10,9,8,14,10,
139, Vala,Dragonborn,Rogue,She/Her,Either,11,16,12,14,12,
140, Lucyus,Half-Elf,Warlock,He/Him,Either,15,17,13,15,13,
141, Abbos,Wood Elf,Ranger,She/They,Feminine,11,12,14,13,12,
142, Madisyn,Drow Elf,Paladin,She/Her,Feminine,10,13,10,6,15,
143, Cartus,Hill Dwarf,Paladin,They/Them,Either,14,11,15,15,9,
144, Aryell,High Elf,Sorceror,They/Them,Feminine,12,13,12,13,13,
145, Chaerles,Rock Gnome,Rogue,They/Them,Either,16,15,5,16,12,
146, Luhos,Mountain Dwarf,Artificer,She/They,Feminine,13,13,14,9,7,
147, Valentyna,Half-Orc,Paladin,She/Her,Either,11,10,15,12,11,
148, Lyam,Hill Dwarf,Rogue,She/They,Feminine,13,10,17,7,11,
149, Maximo,Forest Gnome,Paladin,They/Them,Either,13,12,11,12,16,
150, Bronnos,Rock Gnome,Fighter,He/Him,Either,13,14,10,12,18,
151, Gael,Half-Elf,Bard,He/Him,Masculine,7,11,10,14,12,
152, Horace,Tiefling,Artificer,He/Him,Either,12,17,17,8,15,
153, Cristian,Wood Elf,Artificer,He/Him,Feminine,14,12,15,10,8,
154, Ashlene,Wood Elf,Monk,She/Her,Feminine,11,10,16,13,12,
155, Janna,High Elf,Cleric,They/Them,Either,13,14,10,15,10,
156, Jasmyne,Lightfoot Halfling,Warlock,He/They,Either,15,12,17,11,11,
157, Vyncent,High Elf,Wizard,He/Him,Masculine,9,11,12,12,13,
158, Damyin,Stout Halfling,Warlock,He/Him,Either,15,11,9,13,13,
159, Teodus,Hill Dwarf,Wizard,He/Him,Masculine,15,10,15,11,16,
160, Linconos,Halfling,Artificer,They/Them,Masculine,10,7,10,15,12,
161, Brado,Half-Elf,Barbarian,He/They,Either,11,9,10,9,11,
162, Gina,Halfling,Rogue,They/Them,Feminine,15,14,17,18,13,
163, Genesia,Half-Orc,Rogue,They/Them,Masculine,7,13,10,12,14,
164, Tomus,Dwarf,Bard,They/Them,Either,8,13,12,12,9,
165, Yanna,Half-Orc,Druid,She/Her,Feminine,13,12,12,15,16,
166, Aurora,Lightfoot Halfling,Fighter,She/Her,Masculine,10,12,7,8,16,
167, Jasmine,Hill Dwarf,Druid,She/Her,Masculine,18,11,14,8,11,
168, Evylann,Forest Gnome,Paladin,She/They,Masculine,17,15,12,13,9,
169, Liam,Dwarf,Rogue,He/They,Feminine,8,15,16,15,15,
170, Bertus,Tiefling,Sorceror,She/They,Either,15,9,7,12,15,
171, Alonnos,Drow Elf,Bard,She/They,Either,13,17,12,12,15,
172, Arjana,Elf,Cleric,She/Her,Masculine,11,13,12,14,16,
173, Nycole,Tiefling,Bard,She/Her,Masculine,14,8,11,14,11,
174, Lyuk,Drow Elf,Barbarian,He/Him,Feminine,13,12,12,16,11,
175, Aeliya,Gnome,Warlock,She/Her,Masculine,16,12,9,8,16,
176, Brydus,Forest Gnome,Druid,He/They,Feminine,16,6,7,5,11,
177, Santyeg,Rock Gnome,Rogue,He/They,Feminine,15,13,10,12,9,
178, Madizinia,Human,Rogue,He/They,Masculine,10,10,11,14,12,
179, Masyn,Dwarf,Cleric,He/Him,Either,11,9,9,12,15,
180, Jakomos,Tiefling,Ranger,He/They,Either,9,13,7,9,11,
181, Grassos,Half-Elf,Artificer,He/Him,Feminine,7,13,8,13,17,
182, Harperia,Rock Gnome,Monk,She/Her,Masculine,15,15,14,15,9,
183, Lucyus,Half-Orc,Paladin,He/They,Either,6,8,11,11,9,
184, Brynn,Drow Elf,Artificer,He/They,Feminine,13,14,15,13,10,
185, Joshoe,Elf,Sorceror,He/They,Masculine,15,14,17,18,14,
186, Wytt,Wood Elf,Monk,She/They,Either,11,13,16,16,11,
187, Ysiah,Lightfoot Halfling,Wizard,They/Them,Either,12,10,10,10,10,
188, Amelya,Half-Elf,Paladin,She/Her,Either,16,8,9,12,16,
189, Gael,Stout Halfling,Fighter,She/They,Feminine,16,14,16,14,11,
190, Jakos,Stout Halfling,Warlock,He/Him,Either,13,16,11,11,12,
191, Eva,Lightfoot Halfling,Wizard,She/Her,Either,12,9,11,9,14,
192, Lippi,Stout Halfling,Cleric,She/Her,Masculine,17,12,14,13,6,
193, Lynardus,Elf,Paladin,They/Them,Masculine,12,13,18,13,10,
194, Brandyn,Elf,Druid,He/They,Masculine,14,11,13,13,10,
195, Theodorus,Forest Gnome,Barbarian,They/Them,Either,13,17,14,17,15,
196, Lan,Dwarf,Paladin,He/Him,Masculine,11,13,11,9,17,
197, Aevelyn,Mountain Dwarf,Paladin,She/They,Masculine,10,18,10,17,10,
198, Lailana,Dwarf,Artificer,She/Her,Masculine,10,13,12,17,14,
199, Avelia,Stout Halfling,Druid,She/Her,Feminine,15,12,10,8,13,
200, Kymber,Half-Orc,Warlock,She/Her,Masculine,11,11,10,17,10,
201, Fanna,Hill Dwarf,Bard,She/Her,Masculine,14,12,8,13,15,
202, Sophia,Half-Elf,Cleric,She/Her,Feminine,13,13,16,8,12,
203, Yulian,Dwarf,Artificer,He/Him,Either,10,10,15,10,12,
204, Helian,Lightfoot Halfling,Ranger,He/Him,Masculine,13,12,14,14,14,
205, Ljonus,Hill Dwarf,Bard,He/Him,Feminine,13,14,13,5,12,
206, Sebasten,Stout Halfling,Fighter,He/They,Masculine,12,14,14,17,11,
207, Xavyer,Half-Orc,Paladin,She/They,Masculine,12,11,17,15,8,
208, Scarletta,Half-Orc,Druid,They/Them,Feminine,8,14,13,16,5,
209, Hadeos,Forest Gnome,Druid,He/Him,Masculine,9,14,7,13,13,
210, Gioseppi,Rock Gnome,Cleric,They/Them,Masculine,14,9,9,10,10,
211, Haesoe,Halfling,Wizard,He/Him,Either,10,12,10,15,12,
212, Iagos,High Elf,Druid,He/Him,Masculine,11,8,11,13,14,
213, Avelia,Halfling,Druid,He/They,Masculine,11,12,11,10,14,
214, Haddeus,Elf,Bard,He/They,Feminine,12,12,13,13,11,
215, Hannah,Rock Gnome,Paladin,She/Her,Feminine,9,14,14,13,12,
216, Talya,Human,Wizard,He/They,Masculine,12,12,15,13,5,
217,Abigail,Mountain Dwarf,Warlock,She/Her,Either,9,13,10,15,14,
218, Aurora,Hill Dwarf,Druid,She/Her,Masculine,14,8,16,14,11,
219, Joren,Dwarf,Ranger,They/Them,Masculine,13,16,10,8,16,
220, Danjel,Gnome,Druid,He/Him,Masculine,13,15,17,12,10,
221, Brooke,Mountain Dwarf,Cleric,She/Her,Feminine,11,12,13,11,13,
222, Kamrus,Lightfoot Halfling,Monk,They/Them,Masculine,11,14,11,12,15,
223, Lanja,Wood Elf,Warlock,He/They,Masculine,14,11,10,14,12,
224, Henrik,Dragonborn,Monk,He/They,Feminine,8,13,12,16,9,
225, Jenessa,Dragonborn,Wizard,He/They,Masculine,10,14,11,17,14,
226, Lynkus,Rock Gnome,Artificer,She/They,Feminine,16,11,9,12,14,
227, Vintus,Tiefling,Warlock,He/Him,Either,9,10,7,9,15,
228, Brooke,Lightfoot Halfling,Druid,She/Her,Either,11,12,14,12,14,
229, Robett,Rock Gnome,Druid,She/They,Masculine,10,16,11,15,14,
230, Iono,Wood Elf,Ranger,He/They,Masculine,16,14,12,12,13,
231, Alina,Hill Dwarf,Monk,She/Her,Either,10,12,14,12,10,
232, Aido,Half-Elf,Fighter,He/Him,Either,14,13,12,12,5,
233, Nolan,Dragonborn,Bard,He/They,Masculine,8,11,17,14,17,
234, Elva,High Elf,Wizard,They/Them,Feminine,9,13,15,10,10,
235, Lucjius,Half-Orc,Cleric,He/Him,Feminine,11,12,14,14,11,
236, Jasmine,Dwarf,Wizard,She/Her,Masculine,11,12,9,9,11,
237, Nolanus,Hill Dwarf,Barbarian,She/They,Masculine,18,11,16,11,12,
238, Ian,Dwarf,Monk,He/They,Feminine,12,11,12,11,10,
239, Mattos,Halfling,Sorceror,He/Him,Masculine,10,10,12,5,12,
240, Yvan,Stout Halfling,Paladin,He/Him,Either,15,15,10,9,7,
241, Lily,Wood Elf,Fighter,She/They,Either,10,11,7,7,12,
242, Zoea,Elf,Wizard,She/Her,Masculine,14,12,11,12,9,
243, Caliana,Lightfoot Halfling,Ranger,He/They,Either,13,12,13,11,15,
244, Landen,Dragonborn,Barbarian,He/Him,Either,6,9,17,6,15,
245, Caeleb,Drow Elf,Monk,She/They,Either,11,10,12,12,7,
246, Aliya,Dragonborn,Cleric,She/Her,Masculine,14,10,9,14,10,
247, Uenio,Rock Gnome,Druid,He/They,Masculine,11,14,14,15,13,
248, Laylanna,Drow Elf,Rogue,She/Her,Either,14,13,11,14,14,
249, Julyan,Tiefling,Rogue,They/Them,Masculine,11,15,11,15,9,
250, Jianna,Elf,Barbarian,He/They,Feminine,11,8,12,13,16,
251, Sarah,Elf,Fighter,She/Her,Either,8,12,11,5,15,
252, Hasselo,Gnome,Sorceror,He/They,Feminine,9,9,9,6,14,
253, Madisyn,Rock Gnome,Druid,She/Her,Either,9,11,12,6,9,
254, Jaedyn,Hill Dwarf,Druid,He/They,Either,10,17,11,12,9,
255, Arielle,High Elf,Ranger,She/Her,Feminine,11,3,12,10,17,
256, Amelya,Halfling,Sorceror,She/Her,Either,11,13,9,7,17,
257, Huntyr,Halfling,Barbarian,They/Them,Feminine,17,15,13,9,10,
258, Jax,Wood Elf,Warlock,She/They,Masculine,16,12,13,13,14,
259, Celine,Half-Elf,Artificer,They/Them,Either,14,14,13,14,13,
260, Talya,Half-Elf,Artificer,She/Her,Masculine,15,11,17,9,8,
261, Vyla,Tiefling,Warlock,She/They,Either,16,8,13,12,11,
262, Lando,Dwarf,Barbarian,He/They,Either,8,9,13,9,13,
263, Faline,Human,Paladin,She/They,Masculine,15,11,8,12,13,
264, Abyl,Gnome,Ranger,She/They,Masculine,12,10,8,15,15,
265, Kalja,High Elf,Fighter,She/Her,Feminine,13,13,14,14,10,
266, Ryanna,Mountain Dwarf,Fighter,He/They,Either,6,9,10,4,15,
267, Kevin,Half-Elf,Wizard,He/They,Feminine,5,12,8,12,17,
268, Haenna,Human,Paladin,She/They,Masculine,15,8,12,6,13,
269, Aedrio,Tiefling,Barbarian,They/Them,Either,8,17,9,18,8,
270, Liana,Halfling,Druid,They/Them,Feminine,12,16,12,13,11,
271, Rjanna,Half-Elf,Sorceror,She/Her,Feminine,12,11,11,14,10,
272, Gray,Forest Gnome,Fighter,He/Him,Feminine,12,6,17,12,13,
273, Lucius,Stout Halfling,Druid,He/Him,Either,9,14,9,14,15,
274, Elyssa,Forest Gnome,Rogue,They/Them,Either,9,8,10,16,11,
275, Mya,Forest Gnome,Wizard,She/They,Masculine,14,11,15,16,16,
276, Bryn,Tiefling,Sorceror,She/They,Either,14,10,17,11,15,
277, Skarye,Drow Elf,Artificer,She/They,Either,13,8,13,8,11,
278, Valentina,Human,Warlock,She/Her,Either,12,15,11,7,14,
279, Jasmine,Elf,Monk,They/Them,Feminine,9,13,14,14,12,
280, Natyan,Halfling,Sorceror,They/Them,Either,16,14,12,15,12,
281, Adym,Elf,Rogue,They/Them,Either,8,8,8,13,12,
282, Evan,High Elf,Ranger,She/They,Masculine,7,12,11,13,13,
283, Guan,Mountain Dwarf,Paladin,He/Him,Masculine,15,10,8,15,16,
284, Natos,Tiefling,Wizard,He/They,Feminine,15,4,15,11,13,
285, Charlus,Halfling,Sorceror,They/Them,Either,17,15,13,7,12,
286, Natyanus,Wood Elf,Artificer,He/Him,Masculine,11,11,11,11,10,
287, Kevin,Human,Barbarian,They/Them,Either,11,11,14,16,13,
288, Ashlyne,Wood Elf,Paladin,She/Her,Feminine,14,16,13,15,15,
289, Gafjen,Halfling,Sorceror,He/Him,Feminine,13,13,17,13,15,
290, Zoe,Wood Elf,Barbarian,She/They,Masculine,12,16,17,12,16,
291, Allyson,Elf,Wizard,She/Her,Masculine,13,16,13,12,10,
292, Jaymes,Dragonborn,Monk,He/Him,Either,12,10,15,9,13,
293, Goshwa,Tiefling,Warlock,They/Them,Either,11,12,8,14,16,
294, Haesus,Dwarf,Bard,He/They,Either,12,14,6,15,16,
295, Romyn,Half-Orc,Bard,They/Them,Either,14,12,14,12,11,
296, Alys,Dwarf,Sorceror,They/Them,Feminine,13,12,13,14,10,
297, Kayla,Dwarf,Fighter,She/Her,Either,14,14,18,9,18,
298, Gael,Rock Gnome,Cleric,They/Them,Feminine,16,13,11,15,11,
299, Loona,Lightfoot Halfling,Wizard,She/Her,Masculine,15,6,15,10,17,
300, Handus,Lightfoot Halfling,Sorceror,He/They,Masculine,10,9,8,9,11,
