Name,Race,Age,AgeDesc,Role,RoleDesc,Values,Preferred Class,Pronouns,Sexual Preference,Str,Dex,Con,Wis,Int,Cha,PhysicalDescs,Session Notes
 Alisea Temdures,Forest Gnome,459,Extremely Old,Tax Collector ,"collects unpaid taxes from people, guilds, or businesses.",Connect to Others: Intimacy,Monk,They/Them,Either,15,15,14,3,15,16," Alisea has flashy, brown eyes with medium-length, brown hair and is somewhat short.  Alisea has a drinking problem and has a limp.",
 Rilia Gitula,Gnome,251,Middle Aged,Disgraced Noble ,"a person of high birth who has since loss their respect, honor, or esteem in some or all noble circles.",Connect to Others: Intimacy,Monk,She/Her,Masculine,11,17,12,9,18,18," Rilia has fieery, brown eyes with short, sheer black hair and is somewhat tall.  Rilia is over confident and has a sniffle.",
 Kayla Narn Ron,Stout Halfling,153,Extremely Old,Caravaneer ,travels or lives in a caravan.,Espiritual Journey: Knowledge,Cleric,She/They,Either,10,16,15,9,15,17," Kayla has bright, aqua eyes with short, black hair and is very short.  Kayla has a drinking problem and has a cigar.",
 Sebasten VarinGemott,Mountain Dwarf,375,Extremely Old,Ringmaster/Ringmistress ,master of ceremony who introduces the circus acts to the audience.,Provide Structure: Control,Barbarian,They/Them,Either,12,12,13,11,16,10," Sebasten has blotchy, lemon eyes with short, blonde hair and is somewhat short.  Sebasten stinks and has a rose lapel.",
 Mattos Comdussi,Drow Elf,645,Old,Musician ,plays a musical instrument.,Espiritual Journey: Freedom,Barbarian,She/They,Either,15,12,16,15,13,11," Mattos has watery, red eyes with medium-length, dirty blonde hair and is somewhat short.  Mattos cannot read and has a cigar.",
 Natyanus Kesh’mith Jakor,Hill Dwarf,325,Old,Miller ,owns or works in a grain mill.,Provide Structure: Control,Wizard,She/They,Masculine,13,13,16,16,18,16," Natyanus has muted, sapphire eyes with long, brown hair and is of average height.  Natyanus is disloyal and has tattoos framing their face.",
 Zachaery Tut’mas Grazat,High Elf,113,Young Adult,Theologian ,engages in the study of the nature of God and religious belief.,Espiritual Journey: Freedom,Warlock,He/Him,Masculine,17,19,9,16,16,14," Zachaery has vibrant, teal eyes with short, brown hair and is short.  Zachaery does not trust others and has large stains.",
 Lanya Buheli,Half-Elf,176,Old,Longshoreman ,loads and unloads ships in a port.,Provide Structure: Innovation,Warlock,She/They,Masculine,12,15,15,10,16,15," Lanya has beaming, brown eyes with long, sheer black hair and is tall.  Lanya hates dwarves and has carrying tens of books.",
 Bastyen Jiltrana,Gnome,50,Young Adult,Cleric ,"has devoted their entire being to the will of their god, thus gaining magical powers.",Connect to Others: Belonging,Paladin,She/They,Masculine,7,16,8,11,13,17," Bastyen has opaque, crimson eyes with long, dirty blonde hair and is very short.  Bastyen does not trust others and has a rose lapel.",
 Tilo Vlul Trat,Halfling,49,Young Adult,Raider/Marauder ,"makes sudden, unprompted attacks against defenseless or near-defenseless settlements.",Leave a Mark: Liberation,Cleric,He/They,Masculine,13,12,13,17,15,12," Tilo has beaming, lemon eyes with short, dirty blonde hair and is tall.  Tilo is lazy and has a sniffle.",
 Ruby HoAh,Mountain Dwarf,319,Old,Potter ,"makes pots, bowls, plates, etc., out of clay.",Leave a Mark: Mastery,Monk,She/They,Feminine,15,15,13,13,18,16," Ruby has ashy, white eyes with medium-length, dirty blonde hair and is tall.  Ruby cannot read and has a limp.",
 Ezrus Hoermuuqi,Dragonborn,53,Middle Aged,Shaman ,accesses and influences the world of good and evil spirits.,Provide Structure: Control,Wizard,He/They,Either,14,12,15,14,19,13," Ezrus has squinted, teal eyes with long, dirty blonde hair and is short.  Ezrus is disloyal and has tattoos framing their face.",
 Mea VriekDitt,Gnome,354,Old,Crime Boss ,controls and supervises a criminal organization.,Provide Structure: Innovation,Barbarian,They/Them,Feminine,13,17,7,15,11,16," Mea has bold, lime eyes with medium-length, blonde hair and is very short.  Mea hates dragons and has a rose lapel.",
 Jason Hoekhotuu,Stout Halfling,39,Young Adult,Elder ,"a person of a greater age, especially one with a respected position in society.",Provide Structure: Service,Bard,He/They,Masculine,13,16,15,13,20,11," Jason has colorless, apricot eyes with short, blonde hair and is very tall.  Jason stinks and has tattoos lining their forearms.",
 Oscar Kevole Annollab,Lightfoot Halfling,80,Middle Aged,Quarryman/Quarrywoman ,quarries stone.,Provide Structure: Control,Rogue,He/They,Masculine,16,15,13,12,16,15," Oscar has dark, aqua eyes with medium-length, black hair and is somewhat tall.  Oscar hates tieflings and has a rose lapel.",
 Valia Zoneho,Half-Orc,41,Middle Aged,Smuggler ,"manages the import or export of goods secretly, in violation of the law, especially without payment of legal duty.",Leave a Mark: Mastery,Monk,She/Her,Masculine,12,12,16,17,12,16," Valia has bleak, green eyes with long, brown hair and is tall.  Valia cannot do math and has a rose lapel.",
