Name,Race,Age,AgeDesc,Role,RoleDesc,Values,Preferred Class,Pronouns,Sexual Preference,Str,Dex,Con,Wis,Int,Cha,PhysicalDescs,Session Notes
 Ljonus VrartDaln,Dwarf,112,Young Adult,Embroiderer ,ornaments with needlework.,Espiritual Journey: Knowledge,Bard,He/They,Either,15,13,16,14,11,9," Ljonus has deep, beige eyes with long, dirty blonde hair and is very short.  Ljonus is disloyal and has a smirk.",
 Jasmyne Teshotho,Forest Gnome,350,Old,Grave Robber/Tomb Raider ,steals valuables from graves and tombs.,Connect to Others: Intimacy,Wizard,They/Them,Either,12,15,15,13,13,14," Jasmyne has bleak, lime eyes with short, bright blonde hair and is of average height.  Jasmyne cannot read and has branded forearm.",
 Alisia Crodugax,Lightfoot Halfling,157,Extremely Old,Inspection Officer ,responsible for the inspection of military units to ensure they meet appropriate standards of training and efficiency.,Provide Structure: Innovation,Sorceror,He/They,Either,9,14,13,15,15,14," Alisia has uneven, auburn eyes with long, red hair and is tall.  Alisia cannot do math and has carrying tens of books.",
 Stonnos Jas Grogg,Dragonborn,84,Extremely Old,Baler ,"bales hay, or in the mills, wool and cotton goods.",Leave a Mark: Power,Druid,She/They,Masculine,11,18,11,18,16,11," Stonnos has washed, green eyes with long, red hair and is very short.  Stonnos is over confident and has a sniffle.",
 Laila Temdures,Halfling,124,Old,Makeup Artist ,"applies cosmetics to models, actors, nobles, etc.",Espiritual Journey: Freedom,Warlock,He/They,Either,8,8,17,18,15,13," Laila has flashy, pink eyes with medium-length, brown hair and is somewhat tall.  Laila hates dwarves and has large stains.",
 Dan Mifa Velladog,Halfling,149,Extremely Old,General Contractor ,"supervises a construction site, manages its vendors and trades, and communicates information to all involved parties.",Provide Structure: Service,Rogue,He/Him,Masculine,13,14,18,8,16,16," Dan has ashy, blue eyes with medium-length, bright blonde hair and is tall.  Dan hates elves and has a limp.",
 Graja Vluth Grolless,Halfling,75,Middle Aged,Glazier ,fits glass into windows and doors.,Provide Structure: Service,Paladin,He/They,Either,9,10,16,10,16,19," Graja has uneven, coral pink eyes with medium-length, red hair and is very short.  Graja hates dwarves and has a cigar.",
 Zoey GreerantMeihaj,Half-Orc,1,Child,Healer ,able to cure a disease or injury using magic.,Connect to Others: Belonging,Monk,She/Her,Feminine,13,12,15,9,16,11," Zoey has fieery, amber eyes with long, dirty blonde hair and is very short.  Zoey has a drinking problem and has carrying tens of books.",
 Ginna Vluus Tross,Forest Gnome,499,Extremely Old,Jeweler ,"designs, makes, and repairs necklaces, bracelets, watches, etc., often containing jewels.",Leave a Mark: Liberation,Fighter,She/Her,Masculine,14,14,16,12,14,14," Ginna has squinted, red eyes with long, sheer black hair and is very short.  Ginna is disloyal and has a rose lapel.",
 Aryella Vle’hux Sunth,Lightfoot Halfling,105,Old,Medium ,"uses extrasensory perception, magic, or divine powers to identify information hidden from the normal senses.",Connect to Others: Belonging,Cleric,She/Her,Masculine,11,14,13,11,13,12," Aryella has vivd, olive eyes with medium-length, bright blonde hair and is tall.  Aryella hates gnomes and has a napsack stuffed to the brim with notes.",
 Samitia Nuhk’khuk Kulith,High Elf,424,Middle Aged,Cockfighter/Gamefighter ,"engages in arena matches in which animals or monsters are pitted against one another, typically to the death.",Espiritual Journey: Safety,Warlock,They/Them,Masculine,12,18,18,11,13,14," Samitia has muddy, sapphire eyes with medium-length, sheer black hair and is somewhat short.  Samitia cannot do math and has a rose lapel.",
 Cloe Kuus Nam,Mountain Dwarf,288,Old,Renderer ,converts waste animal tissue into usable materials.,Leave a Mark: Power,Monk,She/Her,Feminine,9,13,13,11,15,14," Cloe has deep, violet eyes with long, forest green hair and is of average height.  Cloe hates elves and has branded forearm.",
 Avery Chasusu Klott,Tiefling,21,Young Adult,Highwayman ,robs travelers on a road.,Espiritual Journey: Knowledge,Ranger,They/Them,Feminine,12,12,14,10,18,16," Avery has somber, brown eyes with long, bright blonde hair and is very short.  Avery cannot do math and has branded forearm.",
 Valya Munu Rett,Half-Orc,30,Middle Aged,Assay Master ,oversees the testing of currency.,Espiritual Journey: Safety,Cleric,She/They,Feminine,14,14,10,9,15,18," Valya has faded, red eyes with long, blonde hair and is somewhat short.  Valya hates dwarves and has a sniffle.",
 Ema LenMa,Human,7,Child,Ward ,a member of a noble house who has been taken in by another noble family to be raised for a time.,Espiritual Journey: Knowledge,Fighter,They/Them,Either,14,15,11,16,14,19," Ema has ashy, violet eyes with medium-length, blonde hair and is very tall.  Ema is over confident and has a cigar.",
 Josephus Glal Ziskorn,Dwarf,303,Old,Ropemaker ,braids rope.,Espiritual Journey: Knowledge,Wizard,He/Him,Either,13,16,18,14,18,11," Josephus has dim, violet eyes with short, sheer black hair and is somewhat tall.  Josephus is disloyal and has carrying tens of books.",
 Maya Sommebis,Stout Halfling,159,Extremely Old,Talent Scout ,searches for talented individuals who can be employed or promoted.,Connect to Others: Pleasure,Fighter,They/Them,Feminine,10,15,13,6,13,13," Maya has drab, aquamarine eyes with long, bright blonde hair and is short.  Maya is disloyal and has large stains.",
 Robyet Hovove Kut,High Elf,55,Child,Exorcist ,expels or attempts to expel evil spirits from a person or place.,Espiritual Journey: Freedom,Wizard,They/Them,Feminine,10,13,9,19,15,13," Robyet has deep, white eyes with long, dark brown hair and is somewhat short.  Robyet hates gnomes and has tattoos lining their forearms.",
 Domnik Sylanys,Dwarf,277,Old,Merchant ,sells and trades goods.,Provide Structure: Innovation,Artificer,She/They,Masculine,12,18,15,12,18,10," Domnik has dim, chestnut eyes with long, blonde hair and is somewhat tall.  Domnik cannot read and has tattoos framing their face.",
 Milannia Narutax,Elf,634,Old,Gongfarmer ,digs out and removes excrement from privies and cesspits.,Leave a Mark: Mastery,Fighter,She/Her,Either,10,11,14,8,13,12," Milannia has dim, white eyes with short, brown hair and is very short.  Milannia has a gambling problem and has tattoos lining their forearms.",
